daily_statistic,percentile,baseline_A,baseline_B,filename,LC_code,LC_name,Elevation,count,mean,median,std
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,4,DBF,1000_1500,361,0.44889180614017055,0.44528770446777344,0.10930537931602728
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,4,DBF,1500_2000,7,0.4922056198120117,0.45547962188720703,0.1493234199923055
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,5,MF,0_500,1403,0.5443004130977269,0.521881103515625,0.09853889241551972
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,5,MF,500_1000,1186,0.4934546235842005,0.49172496795654297,0.08155315498215572
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,5,MF,1000_1500,599,0.4950707376699814,0.5013723373413086,0.09561495551095302
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,5,MF,1500_2000,49,0.4485505162453165,0.47113609313964844,0.0945110876140401
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,6,Closed Shrub,500_1000,1,0.5594005584716797,0.5594005584716797,0.0
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,0_500,614,0.3454733081283321,0.32469749450683594,0.11763508272038488
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,500_1000,1188,0.34046830874099476,0.3120307922363281,0.15719662369958295
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,1000_1500,968,0.2373357410273276,0.1935434341430664,0.11686254670102152
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,1500_2000,293,0.29676145742370813,0.29916954040527344,0.06625208097302163
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,2000_2500,56,0.2865353652409145,0.29504966735839844,0.06317567517408691
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,2500_3500,6,0.30591551462809247,0.3052482604980469,0.04412822798941343
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,8,Woody Savanna,0_500,1505,0.4257917226747025,0.4089241027832031,0.17243170511497707
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,8,Woody Savanna,500_1000,1206,0.3787632170403577,0.3811922073364258,0.13025746165131716
