percentile,baseline,LC_code,LC_name,Elevation,count,mean,median,std
p97,1981_2020,11,Wetland,500_1000,1,0.35356712341308594,0.35356712341308594,0.0
p97,1981_2020,12,Cropland,0_500,19968,0.2656403365903176,0.27281665802001953,0.07990918948745211
p97,1981_2020,12,Cropland,500_1000,2714,0.2292833444205996,0.2426300048828125,0.09875742965059996
p97,1981_2020,12,Cropland,1000_1500,809,0.20310195267421502,0.1959381103515625,0.08712632293204875
p97,1981_2020,12,Cropland,1500_2000,42,0.24877003261021205,0.25275135040283203,0.04953732219230564
p97,1981_2020,12,Cropland,2000_2500,2,0.2159438133239746,0.2159438133239746,0.02494955062866211
p97,1981_2020,13,Urban,0_500,825,0.26443923950195314,0.2810182571411133,0.07034427759271664
p97,1981_2020,13,Urban,500_1000,56,0.2578493186405727,0.2674136161804199,0.07696786170629095
p97,1981_2020,13,Urban,1000_1500,6,0.2045154571533203,0.1903219223022461,0.10997049482906456
p97,1981_2020,14,Crop/Nat Mosaic,0_500,996,0.20295292306616602,0.20431041717529297,0.09170461999588486
p97,1981_2020,14,Crop/Nat Mosaic,500_1000,72,0.24583877457512748,0.23916387557983398,0.0811236756973565
p97,1981_2020,14,Crop/Nat Mosaic,1000_1500,4,0.3110487461090088,0.3003387451171875,0.053398777029743
p97,1981_2020,15,Snow/Ice,2000_2500,1,0.3162679672241211,0.3162679672241211,0.0
p97,1981_2020,15,Snow/Ice,2500_3500,3,0.2911473910013835,0.298492431640625,0.04729726771055704
p97,1981_2020,16,Barren,0_500,6734,0.18765642043210862,0.1789693832397461,0.04383796178840627
p97,1981_2020,16,Barren,500_1000,3864,0.18550500810516546,0.1657857894897461,0.06308558064543851
p97,1981_2020,16,Barren,1000_1500,989,0.15063246292098828,0.150634765625,0.05082981858539404
p97,1981_2020,16,Barren,1500_2000,63,0.21680124979170542,0.21812820434570312,0.04964137407025342
p97,1981_2020,16,Barren,2000_2500,25,0.24231606483459472,0.23575210571289062,0.04562565936801019
p97,1981_2020,16,Barren,2500_3500,34,0.28305923237520103,0.2775857448577881,0.06587936034937886
p97,1981_2020,17,Water,0_500,1532,0.22124013328054243,0.22167110443115234,0.07764171607226653
p97,1981_2020,17,Water,500_1000,43,0.22866073874540108,0.2158946990966797,0.07663093868028983
p97,1981_2020,17,Water,1000_1500,9,0.19461801317003039,0.19170188903808594,0.017125991629211988
p97,1991_2020,1,ENF,0_500,373,0.3532363390475112,0.36774635314941406,0.09876346027863263
p97,1991_2020,1,ENF,500_1000,259,0.3264222458062485,0.3560371398925781,0.09450897355202173
p97,1991_2020,1,ENF,1000_1500,251,0.3997519728671982,0.4159879684448242,0.10047272285615268
p97,1991_2020,1,ENF,1500_2000,108,0.3742998882576271,0.3799896240234375,0.06629404242541997
p97,1991_2020,2,EBF,0_500,134,0.16819592376253498,0.15810775756835938,0.10909883291890779
p97,1991_2020,2,EBF,500_1000,23,0.18254844002101733,0.19593238830566406,0.05988716845892912
p97,1991_2020,2,EBF,1000_1500,1,0.12322044372558594,0.12322044372558594,0.0
p97,1991_2020,4,DBF,0_500,1278,0.43129666049342386,0.4417386054992676,0.10030397566795934
p97,1991_2020,4,DBF,500_1000,1276,0.40739457584847477,0.41646862030029297,0.10262293439227736
p97,1991_2020,4,DBF,1000_1500,361,0.3808883709260301,0.3891124725341797,0.096661452237442
p97,1991_2020,4,DBF,1500_2000,7,0.4049854278564453,0.4316368103027344,0.09323096166876069
p97,1991_2020,5,MF,0_500,1403,0.43122523356061787,0.4377756118774414,0.05636605308469652
p97,1991_2020,5,MF,500_1000,1186,0.4172610496791177,0.42780017852783203,0.08228597962231907
p97,1991_2020,5,MF,1000_1500,599,0.4273350019884826,0.43843650817871094,0.0887064011802743
p97,1991_2020,5,MF,1500_2000,49,0.38855475795512295,0.4066944122314453,0.09919088587903573
p97,1991_2020,6,Closed Shrub,500_1000,1,0.48677825927734375,0.48677825927734375,0.0
p97,1991_2020,7,Open Shrub,0_500,614,0.3094511001040182,0.27919578552246094,0.1117638574339675
p97,1991_2020,7,Open Shrub,500_1000,1188,0.30612951175933734,0.27874088287353516,0.14435257541074406
p97,1991_2020,7,Open Shrub,1000_1500,968,0.21367969197675216,0.18279361724853516,0.1115841903676453
p97,1991_2020,7,Open Shrub,1500_2000,293,0.25731276163875855,0.25052833557128906,0.06477618936297948
p97,1991_2020,7,Open Shrub,2000_2500,56,0.23209459441048758,0.2431492805480957,0.06686996057095458
p97,1991_2020,7,Open Shrub,2500_3500,6,0.27413002649943036,0.2511167526245117,0.04021164786335964
p97,1991_2020,8,Woody Savanna,0_500,1505,0.3130711159436806,0.3360404968261719,0.13180359800037375
p97,1991_2020,8,Woody Savanna,500_1000,1206,0.30621009995885945,0.3181180953979492,0.12598363112252597
p97,1991_2020,8,Woody Savanna,1000_1500,559,0.3656467623702102,0.3792991638183594,0.11376108890192131
p97,1991_2020,8,Woody Savanna,1500_2000,72,0.3787994980812073,0.41088008880615234,0.09790364401464957
p97,1991_2020,9,Savanna,0_500,4104,0.3347001514936748,0.35004711151123047,0.13148525764271407
p97,1991_2020,9,Savanna,500_1000,1843,0.34109058731998104,0.3470287322998047,0.11228704669371373
p97,1991_2020,9,Savanna,1000_1500,493,0.3599981352475304,0.36051273345947266,0.11568775738396593
p97,1991_2020,9,Savanna,1500_2000,20,0.357081937789917,0.3429388999938965,0.10565025026295863
p97,1991_2020,9,Savanna,2000_2500,1,0.4684629440307617,0.4684629440307617,0.0
p97,1991_2020,10,Grass,0_500,2158,0.3263734666366506,0.30991268157958984,0.12203120773769481
p97,1991_2020,10,Grass,500_1000,2042,0.3379096919479146,0.3314390182495117,0.106497967225191
p97,1991_2020,10,Grass,1000_1500,1998,0.39273489297211944,0.399871826171875,0.1011482281754245
p97,1991_2020,10,Grass,1500_2000,1126,0.3804107559298961,0.38860034942626953,0.08612328491697399
p97,1991_2020,10,Grass,2000_2500,452,0.3377041924843746,0.334930419921875,0.07840308792188114
p97,1991_2020,10,Grass,2500_3500,97,0.2992883711746058,0.2844352722167969,0.07645984032160641
p97,1991_2020,11,Wetland,0_500,11,0.44414078105579724,0.4379844665527344,0.05354335228434182
p97,1991_2020,11,Wetland,500_1000,1,0.5468959808349609,0.5468959808349609,0.0
p97,1991_2020,12,Cropland,0_500,19968,0.39458738945615596,0.41530513763427734,0.110282280889044
p97,1991_2020,12,Cropland,500_1000,2714,0.339726934032398,0.3454780578613281,0.12244689853242584
p97,1991_2020,12,Cropland,1000_1500,809,0.3635236341667411,0.37920379638671875,0.10415408682038747
p97,1991_2020,12,Cropland,1500_2000,42,0.41954787572224933,0.4159255027770996,0.06918503134897892
p97,1991_2020,12,Cropland,2000_2500,2,0.31342649459838867,0.31342649459838867,0.08708524703979492
p97,1991_2020,13,Urban,0_500,825,0.395252316792806,0.42405223846435547,0.1031841656038993
p97,1991_2020,13,Urban,500_1000,56,0.4124558312552316,0.4025745391845703,0.10640229272411215
p97,1991_2020,13,Urban,1000_1500,6,0.36483224232991535,0.37336063385009766,0.09210972241307641
p97,1991_2020,14,Crop/Nat Mosaic,0_500,996,0.26331827630958404,0.2727546691894531,0.14340164327155616
p97,1991_2020,14,Crop/Nat Mosaic,500_1000,72,0.33931873904334175,0.3200044631958008,0.10540871477769885
p97,1991_2020,14,Crop/Nat Mosaic,1000_1500,4,0.46552491188049316,0.4531259536743164,0.02287402792501665
p97,1991_2020,15,Snow/Ice,2000_2500,1,0.4189581871032715,0.4189581871032715,0.0
p97,1991_2020,15,Snow/Ice,2500_3500,3,0.3633959690729777,0.3930201530456543,0.08752001361964368
p97,1991_2020,16,Barren,0_500,6734,0.35550416737378865,0.35628318786621094,0.05942966641120462
p97,1991_2020,16,Barren,500_1000,3864,0.320080396304713,0.27352333068847656,0.11239985293235315
p97,1991_2020,16,Barren,1000_1500,989,0.2079240704450617,0.20216941833496094,0.08054532225437755
p97,1991_2020,16,Barren,1500_2000,63,0.26635910215831937,0.2649879455566406,0.061449773681647946
p97,1991_2020,16,Barren,2000_2500,25,0.2787864303588867,0.26763153076171875,0.07134493245264835
p97,1991_2020,16,Barren,2500_3500,34,0.36080240151461435,0.3709012269973755,0.09730354113833775
p97,1991_2020,17,Water,0_500,1532,0.3396881018855242,0.33276844024658203,0.1186734377194568
p97,1991_2020,17,Water,500_1000,43,0.3654345578925554,0.3742866516113281,0.0921935668740185
p97,1991_2020,17,Water,1000_1500,9,0.34541236029730904,0.33930206298828125,0.026444308783377668
p99,1981_2020,1,ENF,0_500,373,0.2684545695941506,0.29903602600097656,0.08263474030172635
p99,1981_2020,1,ENF,500_1000,259,0.25006522543181786,0.2712688446044922,0.08887082318124594
p99,1981_2020,1,ENF,1000_1500,251,0.29174766692507315,0.3126697540283203,0.09195815273058394
p99,1981_2020,1,ENF,1500_2000,108,0.27681304790355543,0.28033876419067383,0.05267874690091252
p99,1981_2020,2,EBF,0_500,134,0.14812475175999884,0.14072513580322266,0.055492335562389035
p99,1981_2020,2,EBF,500_1000,23,0.14482100113578464,0.14754104614257812,0.054487259601317596
p99,1981_2020,2,EBF,1000_1500,1,0.08339118957519531,0.08339118957519531,0.0
p99,1981_2020,4,DBF,0_500,1278,0.28025177760116743,0.27991199493408203,0.09026007150183474
p99,1981_2020,4,DBF,500_1000,1276,0.27679271010395873,0.27119922637939453,0.09197023878767331
p99,1981_2020,4,DBF,1000_1500,361,0.27505633441364996,0.2753915786743164,0.08155934754769892
p99,1981_2020,4,DBF,1500_2000,7,0.28328418731689453,0.2815732955932617,0.09431626903095075
p99,1981_2020,5,MF,0_500,1403,0.299557491446595,0.30461883544921875,0.05659210211440668
p99,1981_2020,5,MF,500_1000,1186,0.3043317577690137,0.30469799041748047,0.06945522852719838
p99,1981_2020,5,MF,1000_1500,599,0.312507478940069,0.3243074417114258,0.08870913073552529
p99,1981_2020,5,MF,1500_2000,49,0.30551910400390625,0.31433677673339844,0.07755395112003237
p99,1981_2020,6,Closed Shrub,500_1000,1,0.362579345703125,0.362579345703125,0.0
p99,1981_2020,7,Open Shrub,0_500,614,0.22624519049927155,0.2303142547607422,0.09855611860045611
p99,1981_2020,7,Open Shrub,500_1000,1188,0.2141407892760203,0.21162891387939453,0.12420992767382699
p99,1981_2020,7,Open Shrub,1000_1500,968,0.12717753796538045,0.09969425201416016,0.11122614561098873
p99,1981_2020,7,Open Shrub,1500_2000,293,0.2060516246756596,0.20131301879882812,0.05718676773393685
p99,1981_2020,7,Open Shrub,2000_2500,56,0.18762588500976562,0.18668651580810547,0.04116581314868324
p99,1981_2020,7,Open Shrub,2500_3500,6,0.21008523305257162,0.1953744888305664,0.04120738562083521
p99,1981_2020,8,Woody Savanna,0_500,1505,0.2200735573752774,0.22358322143554688,0.0844903749239627
p99,1981_2020,8,Woody Savanna,500_1000,1206,0.22874096100207783,0.2175149917602539,0.09418807201251324
p99,1981_2020,8,Woody Savanna,1000_1500,559,0.2758322794236949,0.27722740173339844,0.09282554051269444
p99,1981_2020,8,Woody Savanna,1500_2000,72,0.308722111913893,0.32483863830566406,0.06857362444834655
p99,1981_2020,9,Savanna,0_500,4104,0.24662276713239287,0.2537555694580078,0.09767103963522661
p99,1981_2020,9,Savanna,500_1000,1843,0.2502037007978153,0.2525901794433594,0.09669272734589289
p99,1981_2020,9,Savanna,1000_1500,493,0.27052999655083276,0.2644529342651367,0.10837471178816499
p99,1981_2020,9,Savanna,1500_2000,20,0.27553911209106446,0.27736377716064453,0.10996089568455962
p99,1981_2020,9,Savanna,2000_2500,1,0.3977832794189453,0.3977832794189453,0.0
