daily_stat,percentile,baseline,top_frac,LC_code,LC_name,count_hot,fraction_hotspot,fraction_global,enrichment_ratio,difference,reliable
daily_mean,p99,1981_2020,0.1,7,Open Shrub,244,0.03619104123405518,0.025736561345917112,1.406211216316844,0.010454479888138066,True
daily_mean,p99,1981_2020,0.1,8,Woody Savanna,242,0.03589439335508751,0.02796060730406237,1.2837487027641366,0.00793378605102514,True
daily_mean,p99,1981_2020,0.1,9,Savanna,741,0.10990803915752002,0.053992613869511694,2.03561248994434,0.05591542528800833,True
daily_mean,p99,1981_2020,0.1,10,Grass,961,0.1425393058439632,0.06569552728764874,2.169695742296929,0.07684377855631447,True
daily_mean,p99,1981_2020,0.1,11,Wetland,7,0.0010382675763868287,0.00019696347968814116,5.271371007613962,0.0008413040966986875,False
daily_mean,p99,1981_2020,0.1,12,Cropland,3244,0.4811628596855532,0.1954616331555191,2.461674201313543,0.28570122653003416,True
daily_mean,p99,1981_2020,0.1,13,Urban,76,0.011272619400771285,0.007558473533032417,1.4913883539456907,0.003714145867738868,False
daily_mean,p99,1981_2020,0.1,14,Crop/Nat Mosaic,38,0.005636309700385643,0.008961838325810422,0.6289233855238009,-0.003325528625424779,False
daily_mean,p99,1981_2020,0.1,15,Snow/Ice,2,0.0002966478789676654,3.282724661469019e-05,9.036636013052508,0.0002638206323529752,False
daily_mean,p99,1981_2020,0.1,16,Barren,50,0.007416196974191634,0.09854739433729996,0.07525513002208949,-0.09113119736310833,True
daily_mean,p99,1981_2020,0.1,17,Water,63,0.00934440818748146,0.45545342634386543,0.020516715095313543,-0.446109018156384,True
daily_mean,p99,1991_2020,0.05,1,ENF,17,0.005043013942450311,0.008247845711940911,0.6114340784950949,-0.0032048317694905997,False
daily_mean,p99,1991_2020,0.05,4,DBF,178,0.05280332245624444,0.024160853508411982,2.1854907748958508,0.028642468947832456,True
daily_mean,p99,1991_2020,0.05,5,MF,164,0.04865025215069712,0.02656544932293804,1.831335565203103,0.02208480282775908,True
daily_mean,p99,1991_2020,0.05,7,Open Shrub,106,0.031444675170572534,0.025736561345917112,1.2217900731933238,0.005708113824655421,True
daily_mean,p99,1991_2020,0.05,8,Woody Savanna,108,0.03203797092850786,0.02796060730406237,1.1458252884175764,0.004077363624445489,True
daily_mean,p99,1991_2020,0.05,9,Savanna,297,0.08810442005339662,0.053992613869511694,1.6317865304007264,0.03411180618388493,True
daily_mean,p99,1991_2020,0.05,10,Grass,558,0.16552951646395728,0.06569552728764874,2.5196466684738534,0.09983398917630854,True
daily_mean,p99,1991_2020,0.05,11,Wetland,7,0.0020765351527736575,0.00019696347968814116,10.542742015227924,0.0018795716730855164,False
daily_mean,p99,1991_2020,0.05,12,Cropland,1615,0.4790863245327796,0.1954616331555191,2.451050453219095,0.28362469137726054,True
daily_mean,p99,1991_2020,0.05,13,Urban,31,0.009196084247997626,0.007558473533032417,1.2166589203241158,0.0016376107149652088,False
daily_mean,p99,1991_2020,0.05,14,Crop/Nat Mosaic,9,0.0026698309107089885,0.008961838325810422,0.29791107735337935,-0.006292007415101433,False
daily_mean,p99,1991_2020,0.05,16,Barren,229,0.06793236428359538,0.09854739433729996,0.6893369910023398,-0.030615030053704584,True
daily_mean,p99,1991_2020,0.05,17,Water,52,0.0154256897063186,0.45545342634386543,0.03386886301448585,-0.44002773663754685,True
daily_mean,p99,1991_2020,0.1,1,ENF,40,0.0059329575793533075,0.008247845711940911,0.7193342099942294,-0.0023148881325876034,False
daily_mean,p99,1991_2020,0.1,4,DBF,372,0.055176505487985764,0.024160853508411982,2.283715079385552,0.03101565197957378,True
daily_mean,p99,1991_2020,0.1,5,MF,371,0.05502818154850193,0.02656544932293804,2.0714191911291193,0.028462732225563888,True
daily_mean,p99,1991_2020,0.1,7,Open Shrub,211,0.0312963512310887,0.025736561345917112,1.2160269124707135,0.005559789885171584,True
daily_mean,p99,1991_2020,0.1,8,Woody Savanna,173,0.025660041530703056,0.02796060730406237,0.9177211800751885,-0.002300565773359315,True
daily_mean,p99,1991_2020,0.1,9,Savanna,510,0.07564520913675467,0.053992613869511694,1.4010288392329466,0.021652595267242974,True
daily_mean,p99,1991_2020,0.1,10,Grass,950,0.14090774250964105,0.06569552728764874,2.1448605152779217,0.07521221522199231,True
daily_mean,p99,1991_2020,0.1,11,Wetland,7,0.0010382675763868287,0.00019696347968814116,5.271371007613962,0.0008413040966986875,False
daily_mean,p99,1991_2020,0.1,12,Cropland,3171,0.4703352121032335,0.1954616331555191,2.4062789433924925,0.27487357894771436,True
daily_mean,p99,1991_2020,0.1,13,Urban,63,0.00934440818748146,0.007558473533032417,1.2362824512970856,0.0017859346544490421,False
daily_mean,p99,1991_2020,0.1,14,Crop/Nat Mosaic,13,0.001928211213289825,0.008961838325810422,0.215158000310774,-0.007033627112520597,False
daily_mean,p99,1991_2020,0.1,16,Barren,736,0.10916641946010086,0.09854739433729996,1.1077555139251574,0.010619025122800899,True
daily_mean,p99,1991_2020,0.1,17,Water,125,0.018540492435479086,0.45545342634386543,0.04070776804625703,-0.43691293390838637,True
