daily_statistic,percentile,baseline_A,baseline_B,LC_code,LC_name,count,mean,median,std
daily_maximum,p99,1981_2020,1981_2010,1,ENF,991,0.29621159200350766,0.3144054412841797,0.10199589043116174
daily_maximum,p99,1981_2020,1981_2010,2,EBF,158,0.17879447454138647,0.18044185638427734,0.10734183197997055
daily_maximum,p99,1981_2020,1981_2010,4,DBF,2922,0.2867911757874538,0.2936124801635742,0.10767272376310469
daily_maximum,p99,1981_2020,1981_2010,5,MF,3237,0.3404577542205707,0.3443794250488281,0.0874895040642152
daily_maximum,p99,1981_2020,1981_2010,6,Closed Shrub,1,0.4847240447998047,0.4847240447998047,0.0
daily_maximum,p99,1981_2020,1981_2010,7,Open Shrub,3126,0.20551124445841393,0.18331146240234375,0.14414453191102616
daily_maximum,p99,1981_2020,1981_2010,8,Woody Savanna,3350,0.26235436539151774,0.25760364532470703,0.10476958131301084
daily_maximum,p99,1981_2020,1981_2010,9,Savanna,6465,0.29285323459421675,0.297637939453125,0.12412134085676965
daily_maximum,p99,1981_2020,1981_2010,10,Grass,7890,0.2954261571886573,0.2996025085449219,0.1258322716366689
daily_maximum,p99,1981_2020,1981_2010,11,Wetland,20,0.3566807746887207,0.31050968170166016,0.1157799336329281
daily_maximum,p99,1981_2020,1981_2010,12,Cropland,23648,0.3022657377955394,0.3156881332397461,0.12081529631390224
daily_maximum,p99,1981_2020,1981_2010,13,Urban,893,0.31968307067939444,0.3345527648925781,0.10443724886769067
daily_maximum,p99,1981_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.2702931058940603,0.2687416076660156,0.09329540014683742
daily_maximum,p99,1981_2020,1981_2010,15,Snow/Ice,4,0.43088483810424805,0.429135799407959,0.041464656216209664
daily_maximum,p99,1981_2020,1981_2010,16,Barren,11917,0.14429768181951533,0.144439697265625,0.06995463242705148
daily_maximum,p99,1981_2020,1981_2010,17,Water,1722,0.23502156238799587,0.24286651611328125,0.10262107700839598
daily_maximum,p99,1991_2020,1981_2010,1,ENF,991,0.3851019592747077,0.3977031707763672,0.12237565182170043
daily_maximum,p99,1991_2020,1981_2010,2,EBF,158,0.19149063206926176,0.1754322052001953,0.11447109868947707
daily_maximum,p99,1991_2020,1981_2010,4,DBF,2922,0.3846897938576241,0.37982749938964844,0.13384522985178526
daily_maximum,p99,1991_2020,1981_2010,5,MF,3237,0.42828669914832485,0.43548583984375,0.12132463843380745
daily_maximum,p99,1991_2020,1981_2010,6,Closed Shrub,1,0.5804424285888672,0.5804424285888672,0.0
daily_maximum,p99,1991_2020,1981_2010,7,Open Shrub,3126,0.2590314617388842,0.22215938568115234,0.18019105478024883
daily_maximum,p99,1991_2020,1981_2010,8,Woody Savanna,3350,0.3216282044595747,0.31075286865234375,0.13883492876991815
daily_maximum,p99,1991_2020,1981_2010,9,Savanna,6465,0.36111753822202747,0.3624114990234375,0.15709509111605524
daily_maximum,p99,1991_2020,1981_2010,10,Grass,7890,0.40082337315393796,0.40816259384155273,0.15347985856447252
daily_maximum,p99,1991_2020,1981_2010,11,Wetland,20,0.5240973472595215,0.4880828857421875,0.1549766188140381
daily_maximum,p99,1991_2020,1981_2010,12,Cropland,23648,0.4129225811713119,0.4306373596191406,0.147758795311637
daily_maximum,p99,1991_2020,1981_2010,13,Urban,893,0.43576836666094365,0.4432373046875,0.1377022197496822
daily_maximum,p99,1991_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.31788697171567093,0.3016500473022461,0.12722248904079228
daily_maximum,p99,1991_2020,1981_2010,15,Snow/Ice,4,0.48445963859558105,0.4923586845397949,0.09019347394161054
daily_maximum,p99,1991_2020,1981_2010,16,Barren,11917,0.2652543048245641,0.25196075439453125,0.0977600754358729
daily_maximum,p99,1991_2020,1981_2010,17,Water,1722,0.3357209671942061,0.3396577835083008,0.14556357193369107
