daily_statistic,percentile,baseline_A,baseline_B,LC_code,LC_name,count,mean,median,std
daily_mean,p99,1981_2020,1981_2010,7,Open Shrub,3126,0.18839186334640493,0.1728658676147461,0.1169370875901314
daily_mean,p99,1981_2020,1981_2010,8,Woody Savanna,3350,0.2348374718338696,0.23248577117919922,0.09228408887434221
daily_mean,p99,1981_2020,1981_2010,9,Savanna,6465,0.24965211790104017,0.254791259765625,0.09852578450394658
daily_mean,p99,1981_2020,1981_2010,10,Grass,7890,0.251925308471699,0.2508115768432617,0.09702018963182737
daily_mean,p99,1981_2020,1981_2010,11,Wetland,20,0.33376474380493165,0.31996726989746094,0.07664364609558517
daily_mean,p99,1981_2020,1981_2010,12,Cropland,23648,0.26552663894725587,0.271148681640625,0.09388542808932454
daily_mean,p99,1981_2020,1981_2010,13,Urban,893,0.2781713630958207,0.28845787048339844,0.0771276494410794
daily_mean,p99,1981_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.21472946476580493,0.2168416976928711,0.09079454165053973
daily_mean,p99,1981_2020,1981_2010,15,Snow/Ice,4,0.37891602516174316,0.38987112045288086,0.04271394782521368
daily_mean,p99,1981_2020,1981_2010,16,Barren,11917,0.18720302401127567,0.17552566528320312,0.06788056634555237
daily_mean,p99,1981_2020,1981_2010,17,Water,1722,0.22806461236756576,0.23157691955566406,0.09072324030609816
daily_mean,p99,1991_2020,1981_2010,1,ENF,991,0.3466421824050118,0.36794185638427734,0.09773246424408667
daily_mean,p99,1991_2020,1981_2010,2,EBF,158,0.15047936499873293,0.14112186431884766,0.08980050070514108
daily_mean,p99,1991_2020,1981_2010,4,DBF,2922,0.3615403452774664,0.35582733154296875,0.10964585905144972
daily_mean,p99,1991_2020,1981_2010,5,MF,3237,0.3811951045972313,0.38486480712890625,0.09259141924663838
daily_mean,p99,1991_2020,1981_2010,6,Closed Shrub,1,0.4243144989013672,0.4243144989013672,0.0
daily_mean,p99,1991_2020,1981_2010,7,Open Shrub,3126,0.25225657556427644,0.23044395446777344,0.1445872261822316
daily_mean,p99,1991_2020,1981_2010,8,Woody Savanna,3350,0.286333989812367,0.2899599075317383,0.12817854792404246
daily_mean,p99,1991_2020,1981_2010,9,Savanna,6465,0.3092363335416931,0.3172607421875,0.13234154608536589
daily_mean,p99,1991_2020,1981_2010,10,Grass,7890,0.346359414836753,0.3463888168334961,0.12324650222359501
daily_mean,p99,1991_2020,1981_2010,11,Wetland,20,0.465413761138916,0.4501171112060547,0.09539933469687256
daily_mean,p99,1991_2020,1981_2010,12,Cropland,23648,0.35677779305610346,0.35435009002685547,0.11678494661898639
daily_mean,p99,1991_2020,1981_2010,13,Urban,893,0.370574310405257,0.39298248291015625,0.10337551088746894
daily_mean,p99,1991_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.23298762360615516,0.23999881744384766,0.14859527491018412
daily_mean,p99,1991_2020,1981_2010,15,Snow/Ice,4,0.4319414496421814,0.44114255905151367,0.0421550967747946
daily_mean,p99,1991_2020,1981_2010,16,Barren,11917,0.3170799835022138,0.304656982421875,0.10223608548319753
daily_mean,p99,1991_2020,1981_2010,17,Water,1722,0.3191717775856576,0.3149290084838867,0.1270915609621122
